#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr1	1	250000	P5_DCIS	0.956362	5	89	158	291	0.351893	14	1|1	0.320065	6|1	0	8|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	1	250000	P5_INV	0.723464	4	64	105	153	0.406977	14	1|1	0.55936	6|1	0.279445	8|2	0	2|2	0.161195	2|2	0
chr1	750000	1000000	P5_DCIS	0.840798	53	29	655	932	0.412728	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	750000	1000000	P5_INV	0.844996	37	27	389	615	0.38745	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	1000000	1250000	P5_DCIS	1.04468	41	27	429	718	0.374019	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	1000000	1250000	P5_INV	0.997146	25	23	258	332	0.437288	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	1250000	1500000	P5_DCIS	1.14233	83	57	1825	2960	0.3814	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	1250000	1500000	P5_INV	1.00805	64	41	1134	1503	0.430034	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	1500000	1750000	P5_DCIS	1.11124	76	80	2416	3692	0.395547	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	1500000	1750000	P5_INV	1.03549	62	58	1556	2091	0.426652	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	1750000	2000000	P5_DCIS	1.04195	42	47	781	1202	0.393848	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	1750000	2000000	P5_INV	1.02287	30	42	568	706	0.44584	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	2000000	2250000	P5_DCIS	1.02203	14	44	255	361	0.413961	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
