#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER
chr1	1	250000	P6_DCIS	0.9771668816042629	8	81.125	263	386	0.4052388289676425	18
chr1	1	250000	P6_INV	0.9312966060937738	7	74.42857142857143	237	284	0.45489443378119004	18
chr1	750000	1000000	P6_DCIS	1.119243020008392	20	58.75	535	640	0.4553191489361702	18
chr1	750000	1000000	P6_INV	1.1356521829933277	15	32.86666666666667	208	285	0.42190669371196754	18
chr1	1000000	1250000	P6_DCIS	1.0945158835960183	6	48.833333333333336	122	171	0.41638225255972694	18
chr1	1000000	1250000	P6_INV	1.1520461648135072	6	19.333333333333332	51	65	0.4396551724137931	18
chr1	1250000	1500000	P6_DCIS	1.1264231091025767	12	72.91666666666667	383	492	0.4377142857142857	18
chr1	1250000	1500000	P6_INV	1.176071837244048	11	31.90909090909091	146	205	0.41595441595441596	18
chr1	1500000	1750000	P6_DCIS	1.1691190059143688	66	119.01515151515152	3256	4599	0.4145130490133673	18
chr1	1500000	1750000	P6_INV	1.246357330098984	62	72.03225806451613	1867	2599	0.4180474697716077	18
chr1	1750000	2000000	P6_DCIS	1.137201830455285	44	65	1261	1599	0.4409090909090909	18
chr1	1750000	2000000	P6_INV	1.193325585551555	39	33.666666666666664	535	778	0.4074638233054075	18
chr1	2000000	2250000	P6_DCIS	1.1689157686761038	8	64.375	226	289	0.4388349514563107	18
chr1	2000000	2250000	P6_INV	1.1586699839826224	7	31.571428571428573	74	147	0.334841628959276	18
chr1	2250000	2500000	P6_DCIS	1.0731991200163744	27	66.88888888888889	809	997	0.4479512735326689	18
chr1	2250000	2500000	P6_INV	1.1272517373891882	23	33.47826086956522	292	478	0.37922077922077924	18
chr1	2500000	2750000	P6_DCIS	1.1648015456172056	20	40.05	350	451	0.4369538077403246	18
chr1	2500000	2750000	P6_INV	1.1084238388964636	19	19.157894736842106	147	217	0.40384615384615385	18
chr1	2750000	3000000	P6_DCIS	1.4160699813201312	1	80	37	43	0.4625	18
chr1	2750000	3000000	P6_INV	1.2208881504029232	1	30	14	16	0.4666666666666667	18
chr1	3250000	3500000	P6_DCIS	1.0947033384414309	29	64.6896551724138	802	1074	0.4275053304904051	18
chr1	3250000	3500000	P6_INV	1.037693958591896	25	29.32	301	432	0.4106412005457026	18
chr1	3500000	3750000	P6_DCIS	1.0943522011458755	21	58.19047619047619	532	690	0.4353518821603928	18
chr1	3500000	3750000	P6_INV	1.1634844176804724	18	31.055555555555557	231	328	0.41323792486583183	18
chr1	3750000	4000000	P6_DCIS	1.1367969061706635	4	86.25	170	175	0.4927536231884058	18
chr1	3750000	4000000	P6_INV	1.1823475790434181	4	33	55	77	0.4166666666666667	18
chr1	4000000	4250000	P6_DCIS	1.6089751655627804	1	28	11	17	0.39285714285714285	2
chr1	4000000	4250000	P6_INV	1.216424238190737	1	17	3	14	0.17647058823529413	2
chr1	4750000	5000000	P6_DCIS	1.297890278227489	2	80.5	58	103	0.36024844720496896	18
chr1	4750000	5000000	P6_INV	1.1188922107508255	2	32	25	39	0.390625	18
chr1	5750000	6000000	P6_DCIS	1.1255645655578612	5	40	90	110	0.45	18
chr1	5750000	6000000	P6_INV	1.0861613124618337	4	17	25	43	0.36764705882352944	18
chr1	6000000	6250000	P6_DCIS	1.092485696261985	8	42.625	130	211	0.3812316715542522	18
chr1	6000000	6250000	P6_INV	1.1368106054658078	6	20.5	43	80	0.34959349593495936	18
chr1	6250000	6500000	P6_DCIS	1.145300052071796	1	11	4	7	0.36363636363636365	18
chr1	6250000	6500000	P6_INV	1.2025451451210034	1	9	4	5	0.4444444444444444	18
chr1	6500000	6750000	P6_DCIS	1.122075211252341	4	53.5	95	119	0.4439252336448598	18
chr1	6500000	6750000	P6_INV	1.1680710757756585	4	23.5	40	54	0.425531914893617	18
chr1	7500000	7750000	P6_DCIS	1.2682385362619273	6	89.83333333333333	243	296	0.45083487940630795	18
chr1	7500000	7750000	P6_INV	1.1510627867565635	6	39.333333333333336	92	144	0.3898305084745763	18
chr1	7750000	8000000	P6_DCIS	1.111774634573879	21	119.85714285714286	1138	1379	0.45212554628526025	18
chr1	7750000	8000000	P6_INV	1.145651772356407	19	69.89473684210526	586	742	0.44126506024096385	18
chr1	8000000	8250000	P6_DCIS	1.266252900180438	1	56	24	32	0.42857142857142855	18
chr1	8000000	8250000	P6_INV	1.2806482037595333	1	24	10	14	0.4166666666666667	18
chr1	8250000	8500000	P6_DCIS	1.229802786585559	9	78.44444444444444	311	395	0.4405099150141643	18
chr1	8250000	8500000	P6_INV	1.2199317683325368	9	32.111111111111114	114	175	0.3944636678200692	18
chr1	8750000	9000000	P6_DCIS	1.288507439652279	9	60	247	293	0.45740740740740743	18
chr1	8750000	9000000	P6_INV	1.3113093660066293	8	33.875	123	148	0.45387453874538747	18
chr1	9000000	9250000	P6_DCIS	1.2277653847906922	5	56.2	115	166	0.4092526690391459	18
chr1	9000000	9250000	P6_INV	1.279031540431861	4	27.5	50	60	0.45454545454545453	18
chr1	9250000	9500000	P6_DCIS	1.2230510925421911	5	55.6	127	151	0.4568345323741007	18
chr1	9250000	9500000	P6_INV	1.1186345841825627	4	25.5	39	63	0.38235294117647056	18
chr1	9500000	9750000	P6_DCIS	1.2698739936009786	11	63.36363636363637	319	378	0.45767575322812054	18
chr1	9500000	9750000	P6_INV	1.2254974951918451	9	27.444444444444443	99	148	0.4008097165991903	18
chr1	9750000	10000000	P6_DCIS	1.194184711534098	7	81.57142857142857	255	316	0.44658493870402804	18
chr1	9750000	10000000	P6_INV	1.2616984939004987	5	52.8	106	158	0.4015151515151515	18
chr1	10000000	10250000	P6_DCIS	1.2087088364887886	1	264	126	138	0.4772727272727273	18
chr1	10000000	10250000	P6_INV	1.293848226374453	1	121	59	62	0.48760330578512395	18
chr1	10250000	10500000	P6_DCIS	1.1632726170750896	27	133.2962962962963	1647	1952	0.4576271186440678	18
chr1	10250000	10500000	P6_INV	1.2265064557638328	26	61.88461538461539	687	922	0.42697327532628965	18
chr1	10500000	10750000	P6_DCIS	1.1352948092006427	11	106.72727272727273	509	665	0.4335604770017036	18
chr1	10500000	10750000	P6_INV	1.1902624821747825	10	54.6	227	319	0.4157509157509158	18
chr1	11000000	11250000	P6_DCIS	1.1371163514683513	11	119.27272727272727	589	723	0.4489329268292683	18
chr1	11000000	11250000	P6_INV	1.2495938080712046	11	46.81818181818182	180	335	0.34951456310679613	18
chr1	11250000	11500000	P6_DCIS	1.16858213697775	3	49	60	87	0.40816326530612246	18
chr1	11250000	11500000	P6_INV	1.2300773332762986	2	28.5	21	36	0.3684210526315789	18
chr1	11500000	11750000	P6_DCIS	1.1601648923088836	8	67.25	234	304	0.4349442379182156	18
chr1	11500000	11750000	P6_INV	1.1262230214492792	8	28	93	131	0.41517857142857145	18
chr1	11750000	12000000	P6_DCIS	1.16972089353637	23	72.26086956521739	747	915	0.44945848375451264	18
chr1	11750000	12000000	P6_INV	1.2106198125224445	20	37.6	319	433	0.4242021276595745	18
chr1	12000000	12250000	P6_DCIS	1.1521541278595206	19	66.57894736842105	556	709	0.43952569169960476	18
chr1	12000000	12250000	P6_INV	1.1883431994672422	16	33.375	225	309	0.42134831460674155	18
chr1	12250000	12500000	P6_DCIS	1.0817911967131455	10	78.1	344	437	0.44046094750320103	18
chr1	12250000	12500000	P6_INV	1.1787961327378742	9	34.111111111111114	123	184	0.4006514657980456	18
chr1	12500000	12750000	P6_DCIS	1.155538546507464	1	54	23	31	0.42592592592592593	18
chr1	12500000	12750000	P6_INV	1.1982659892047485	1	25	12	13	0.48	18
chr1	12750000	13000000	P6_DCIS	1.1096850925388415	66	126.06060606060606	3506	4814	0.42139423076923077	18
chr1	12750000	13000000	P6_INV	1.1316874999992177	69	68.57971014492753	1970	2762	0.4163144547759932	18
chr1	13000000	13250000	P6_DCIS	1.0694999938164231	14	87.14285714285714	488	732	0.4	18
chr1	13000000	13250000	P6_INV	1.1284415149131266	16	59.75	421	535	0.44037656903765693	18
chr1	13250000	13500000	P6_DCIS	1.033687811380856	7	147.57142857142858	434	599	0.42013552758954503	18
chr1	13250000	13500000	P6_INV	1.116778342253179	7	79	242	311	0.4376130198915009	18
chr1	13500000	13750000	P6_DCIS	1.1114145111020015	13	80.07692307692308	494	547	0.4745437079731028	18
chr1	13500000	13750000	P6_INV	1.0240225440127086	12	51	279	333	0.45588235294117646	18
chr1	13750000	14000000	P6_DCIS	1.2537580927876184	1	59	28	31	0.4745762711864407	18
chr1	13750000	14000000	P6_INV	1.1875056608735932	1	30	12	18	0.4	18
chr1	14000000	14250000	P6_DCIS	1.1002702813814014	4	58	93	139	0.40086206896551724	18
chr1	14000000	14250000	P6_INV	1.090576238152989	3	28.333333333333332	32	53	0.3764705882352941	18
chr1	15000000	15250000	P6_DCIS	1.602610386834054	1	241	113	128	0.46887966804979253	18
chr1	15000000	15250000	P6_INV	1.1671514401754548	1	107	53	54	0.4953271028037383	18
chr1	15250000	15500000	P6_DCIS	1.1733394241460737	4	91.5	148	218	0.40437158469945356	18
chr1	15250000	15500000	P6_INV	1.1434710176864926	2	62.5	40	85	0.32	18
chr1	15500000	15750000	P6_DCIS	1.1025414066655932	9	67.11111111111111	267	337	0.4420529801324503	18
chr1	15500000	15750000	P6_INV	1.179854784961844	8	60.875	202	285	0.41478439425051333	18
chr1	15750000	16000000	P6_DCIS	1.1525077477098489	1	83	39	44	0.46987951807228917	18
chr1	15750000	16000000	P6_INV	1.2449383511167513	1	29	12	17	0.41379310344827586	18
