#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr1	1	250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	1	250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	750000	3000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	750000	3000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	3250000	4000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	3250000	4000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	4000000	4250000	P6_DCIS	1|1	0.231405	1|1	0.388704	5|1	0.1044	5|1	0.20668	1|0	0.0688117
chr1	4000000	4250000	P6_INV	1|1	0.179193	1|1	0.463232	5|1	0.0605726	5|1	0	1|0	0.297002
chr1	4750000	5000000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	4750000	5000000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	5750000	6000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	5750000	6000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	6000000	6250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	2|0	0.20668	2|0	0.0688117
chr1	6000000	6250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	2|0	0	2|0	0.297002
chr1	6250000	6500000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	2|0	0.0688117
chr1	6250000	6500000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	2|0	0.297002
chr1	6500000	6750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	6500000	6750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	7500000	8000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	7500000	8000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	8000000	8250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	8000000	8250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	8250000	8500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	8250000	8500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	8750000	9250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	8750000	9250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	9250000	10750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	9250000	10750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	11000000	14250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	11000000	14250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	15000000	15250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	15000000	15250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	15250000	15500000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	15250000	15500000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	15500000	16000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	15500000	16000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	16000000	16250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	16000000	16250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	16250000	16500000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	2|0	0.20668	2|0	0.0688117
chr1	16250000	16500000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	2|0	0	2|0	0.297002
chr1	16500000	18000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	16500000	18000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	18000000	18250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	18000000	18250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	18500000	21500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	18500000	21500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	21750000	22500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	21750000	22500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	22750000	23000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	22750000	23000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	23000000	23250000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	23000000	23250000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	23250000	25000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	23250000	25000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	25250000	25750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	25250000	25750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	26000000	29000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	26000000	29000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	29000000	29250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	1|1	0.20668	2|0	0.0688117
chr1	29000000	29250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	1|1	0	2|0	0.297002
chr1	29500000	29750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	29500000	29750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	30500000	30750000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
